ID,x411,x412,x413,x414,x415,x416,x421,x422,x423,x424,x425,x431,x432,x433,x434,x435,x511,x512,x513,x514,x515,x516,x521,x522,x523,x524,x525,x526,x527,x531,x532,x533,x534,x535,x536,x611,x612,x613,x614,x615,x616,x617,x621,x622,x623,x624,x625,x626,x627,x631,x632,x633,x634,x635,x636
4,2,2,3,3,3,2,1,1,1,1,1,2,2,2,2,5,2,2,3,3,3,3,2,1,1,1,1,1,1,2,2,2,2,5,5,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,5,2
6,4,5,3,4,4,5,5,5,5,5,5,5,4,4,5,4,3,4,3,4,4,4,4,4,4,4,4,5,5,5,5,4,4,3,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,4,4,4,4,3,4
7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2
8,1,1,1,2,2,3,3,2,2,2,2,2,2,3,2,4,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,1,1,1,2,2,3,3,2,2,2,2,2,3,2,3,3,3,3,4,3
16,1,2,2,1,1,1,2,1,1,1,1,3,2,3,1,4,2,1,1,2,1,1,3,2,2,1,1,1,1,3,3,3,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,4,3
21,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2
22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,3,3,3,2,2,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,3,1,1,1,1,1,3,3,3,3,3,3,3,3
24,2,4,2,2,2,2,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
30,1,1,2,1,1,2,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,2,3,3,3,3,3,3,4,4,5,3,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5,5
31,1,1,3,1,1,1,3,3,2,1,1,3,3,3,3,3,1,1,3,1,1,1,3,3,3,1,1,1,1,3,3,3,3,3,3,1,1,3,1,1,1,4,2,1,3,1,1,1,1,3,3,3,3,3,3
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
33,3,4,4,4,5,5,4,4,5,2,3,4,4,4,2,4,2,3,3,4,4,4,4,2,3,4,2,4,4,4,4,4,1,1,3,4,4,4,3,3,3,1,2,2,2,2,2,3,3,4,4,4,4,4,4
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
37,2,3,2,2,4,3,3,2,1,1,1,3,3,3,4,3,2,3,3,4,4,3,2,2,2,2,2,3,2,3,3,3,3,3,3,2,2,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
38,1,1,2,4,5,5,1,2,1,1,1,4,4,4,3,5,2,3,3,4,5,5,3,2,1,1,1,1,1,2,3,4,5,5,1,3,2,3,1,1,3,5,3,2,1,3,3,2,2,2,4,4,4,5,3
39,2,4,4,4,4,3,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,4,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,4,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1
41,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
42,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,3,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,3,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2,2,1,3
44,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
45,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3
46,2,1,3,3,2,1,1,1,1,1,1,3,3,3,3,4,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
47,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,1,1,2,2,2,2,2,2,1,1,1,2,2,3,3,3,1,2,2,2,2,2,3,3,1,1,1,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,3,3
57,1,1,2,2,2,1,2,1,1,2,1,1,1,2,2,4,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,2
59,3,3,3,3,2,3,2,2,2,2,2,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,4,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,3
60,1,2,2,4,5,4,2,3,4,2,2,4,4,4,4,5,1,1,2,4,4,4,1,1,2,2,4,2,2,4,3,4,3,5,4,2,2,3,3,4,4,5,1,4,3,3,3,3,3,4,3,4,3,5,3
62,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,1,2,3,1,1,1,2,3,1,1,1,3,3,3,3,3,1,2,3,1,1,1,2,2,1,1,1,2,2,3,3,3,3,4,2,1,2,3,2,2,2,2,1,1,1,1,1,2,1,3,3,3,3,3,3
64,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,5,1
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,3,3,3,3,3,3
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,3,2,4,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
75,2,2,2,4,4,4,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,3
77,1,1,1,2,2,2,2,2,4,4,4,2,2,2,2,2,3,2,1,2,1,2,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1
79,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
80,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,4,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3
81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,5,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,5,2
84,3,3,2,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,1
85,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,3,5,5,4,4,5,4,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4
88,1,2,3,2,2,2,3,3,1,1,1,4,3,4,2,5,1,1,3,3,3,3,1,1,1,1,1,1,1,3,1,4,2,5,2,3,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,2,2,3,2,2,2,2,2,3,3,3,3,5,3,3,2,3,3,3,3,2,2,2,1,2,2,2,2,3,2,4,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2
91,1,1,1,1,1,2,2,1,1,1,2,3,2,3,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1
92,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
94,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3
98,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,5,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,3,3,5,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,3,3,5,3
99,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,1
101,4,4,3,4,4,4,3,3,3,3,3,4,3,4,4,3,4,3,4,4,4,4,4,3,3,3,3,3,4,5,4,5,4,4,4,3,2,3,4,4,5,3,3,3,4,4,3,4,3,5,5,5,5,1,4
103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
105,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,2,2,1,2,2,3,2,2,2,2,2,2,2,3,3,3,3,4,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3
106,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,5,2
107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,2,1,1,1,1,3,3,3,1,1,1,1,5,1
108,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
110,1,1,1,3,3,4,3,1,1,1,1,1,1,3,2,4,1,1,1,1,1,3,1,1,1,1,1,1,1,3,4,4,2,5,1,2,1,1,2,2,1,1,2,1,3,1,1,1,1,3,3,3,2,4,2
